first_name,last_name,latitude,longitude,company,pyfloat,random_digit
Michael,Cook,54.256767,72.439809,Paul Ltd,-63388.4272765694,0
Anna,Anderson,53.135504,40.596184,Davis Ltd,96090.62,0
Peter,Ortega,-14.4309955,42.926377,"Simmons, Rogers and Gardner",82866.34341342,2
Michelle,Gibson,0.8233105,-30.325711,Bauer Inc,992353069684300.0,8
Chris,Reyes,16.1990145,36.628141,Shannon Ltd,52853285849.253,9
Angelica,Davis,58.874601,22.961066,Graves PLC,23854400315.0,6
Meghan,Hines,-46.7563225,-98.437167,"Anthony, Frey and Hall",62615167675141.0,9
Alexis,Koch,-15.177317,-76.653237,Carter-Hall,40698570389.0,5
Chelsea,Brown,-58.163863,4.356495,"Rubio, Lawrence and Evans",-49882593.4688,9
Nicole,Reynolds,-20.084560,-165.281395,Hawkins-Stein,-1271879112.1,1
Jacqueline,Wood,48.113812,-56.119591,Miller-Murphy,-9996630289341.0,3
Denise,Gould,-34.6645725,40.931675,Ramsey PLC,35635.84,1
Brian,Booth,-61.111414,-141.849619,Padilla Group,-8462133532.6,1
Steven,Carter,12.379672,-154.007098,"Johnson, Yoder and Cardenas",820813232133.58,1
Rebecca,Santana,-61.337237,-145.268359,"Watkins, Jacobs and Wade",759.98964,8
Shawn,Wilson,-16.207956,-40.068288,Wu-Hardin,7390213631047.0,2
Douglas,Sanchez,21.4029785,176.221606,Wilkinson Inc,6414475.77,3
Amanda,Fleming,-87.3022045,-110.389298,Smith-Martin,65146845.49951,5
Dawn,Webb,-29.198791,44.405879,Rose-Henry,581196.0,4
Pamela,Lopez,38.057071,-74.958883,Cole-Rivas,20.129767729,1
