first_name,last_name,latitude,longitude,company,pyfloat,random_digit
Thomas,Riggs,82.321664,-140.062232,Sawyer PLC,350918.929667,5
Jonathan,Dougherty,-61.5476855,127.069997,Hunter-Rowe,740237346804381.0,5
Emily,Michael,83.960597,-4.530506,"Brooks, Becker and Young",-60737926058109.0,0
Christopher,Holt,-63.3621805,-22.846723,Ellis and Sons,-5553546.8702,3
Scott,Garrett,-9.992209,103.918178,Evans-Robinson,93795796.620086,3
Monica,Bradley,37.1713935,-167.598019,"Jackson, Stark and Marks",-847395418.688,8
Jeremy,Golden,54.938409,-3.499289,"Williams, Crawford and Collins",24.752018,7
Melissa,Little,61.719331,-4.654721,Morales LLC,-8.37571468466535,7
Johnny,Valencia,32.1057805,-104.884504,"Oneal, Henderson and Ruiz",-6379777.8,6
Jessica,Bell,19.2049195,168.268908,Taylor and Sons,17537435.26873,9
Fernando,Huang,56.341239,15.734235,"Brown, Mckinney and Gallagher",-8196937215222.0,1
Tiffany,Mcbride,86.093378,-99.270915,Myers Inc,76510.5007731,8
Tiffany,Nelson,-76.383826,30.509170,Edwards-Gibson,17378245.92,6
Natalie,Manning,-12.273924,143.711632,"King, Tanner and Peterson",-98677.792429066,5
Timothy,Stevens,-9.1204915,-31.521996,Williams Group,9190282.47513962,3
Christopher,Shepard,-64.332399,30.589545,Rhodes-Roberts,981361237820.46,7
Joshua,Daniel,69.186772,95.079467,"Cabrera, Hayes and Gill",-5863.1252769211,7
Kathy,Erickson,58.050166,70.411886,Miller Group,-393495922.7,0
Michelle,Perez,-27.226545,-146.355445,Cole LLC,-5383070176.74,6
Linda,Rosales,29.610870,65.554794,"Carpenter, Swanson and Green",37959.639257414,1
