first_name,last_name,latitude,longitude,company,pyfloat,random_digit
Stephen,Williams,-37.1794825,74.595960,Jones LLC,27.4045,9
Bryan,Barnes,-52.4615535,-105.526155,"Smith, Cortez and Tyler",-7237293551.7,4
Jason,Walters,-35.740680,-71.314239,Schmitt-Payne,-27.6682569126,2
Cassie,Perez,-73.6305835,58.978974,King-Perez,717996699.816,4
William,Bradley,-17.5659875,162.491278,Chen and Sons,227593.82984,3
Natalie,Edwards,13.189103,122.601605,"Gibson, Yoder and Jones",17.8,7
Lisa,Valdez,-2.5717225,-70.158265,Rodriguez Group,75437319698813.0,1
Alexandra,Cross,-68.106725,-143.617184,Mcguire and Sons,15318517.0,7
Sean,Avery,25.095070,-21.288471,Sosa Ltd,1.496,6
Paul,Tucker,-26.673146,-109.762318,"Hatfield, Williams and Jones",226770597942.7,4
Bradley,Johnson,79.8322595,33.001379,"King, Hudson and Nguyen",35982470090065.0,5
Abigail,Ortiz,-65.2148155,34.726780,Rich-Thomas,7848791.48725,9
Matthew,Lowe,-80.1455335,175.421458,Wallace PLC,288698115.0,8
Rebecca,Barber,-12.971910,-29.204963,"Washington, Holden and Holder",-884849963131.606,2
Kimberly,Cantrell,64.2892225,84.362428,Franklin-Lee,-2308.3705453613,4
Karen,Wang,-42.794201,83.121315,Ramsey-Anderson,772271098.0,5
Chelsea,Byrd,32.011804,-54.713767,Mills PLC,861669163.3111,4
Debbie,Wilson,-60.646269,-75.823624,Sandoval Ltd,42826207.0,1
Mark,Hull,-39.4937475,63.065081,Bennett-Clayton,-71590760.5,2
Paul,Fitzgerald,71.634324,115.966505,"Serrano, Ray and Perez",167897787981772.0,7
