first_name,last_name,latitude,longitude,company,pyfloat,random_digit
Ann,Banks,70.4378415,146.001021,Larson LLC,11.0,8
John,Huerta,6.992446,-62.448142,Wells PLC,-71342.992942,0
Nathaniel,Hernandez,-68.234331,-73.580988,Weber Ltd,-8708566609.217,1
Anthony,Stewart,19.6768265,-150.305379,"Lewis, Boyd and Johnson",-8384106317396.2,5
Paul,Anderson,31.947371,-45.606684,Wade Ltd,-37872102655006.0,5
Elizabeth,Savage,21.136679,165.275076,"Cardenas, Gonzalez and Griffin",-18.523005205526,7
Julia,Fernandez,60.475431,99.027462,Rios PLC,2.96386,1
Morgan,Bates,1.879861,8.190298,"Lucero, Mendoza and Higgins",296646465553.0,0
Allison,Cooper,82.4172005,-114.534686,Mendez Inc,8041607.0,0
Sarah,Garcia,-65.1275135,-166.696849,Krause-Schroeder,-333017075146761.0,7
Anthony,Curtis,-1.805320,50.532397,Santiago-Thomas,-27823.34500055,4
Kristin,Wise,39.031107,80.480424,"Martin, Harding and Burns",-5280070.9,8
Ashley,Martin,41.3017395,-35.573806,Palmer and Sons,-6301850369318.6,6
Scott,Kelly,55.730146,-92.514267,Jensen-Moore,-3150563537.0,8
Maria,Henderson,48.2715015,-174.457104,Smith Ltd,-532406.754,5
Timothy,Wyatt,40.344382,121.805544,Pacheco-Mills,-31632170100243.1,3
Melissa,Terrell,16.4856335,157.722943,Moreno-Davis,-86.76,1
Joy,Sawyer,12.114189,-52.956393,Smith PLC,-760737419981113.0,6
Bradley,Mendoza,24.8704885,16.190288,Williams-Torres,-700527832755.6,3
Beth,Gibbs,-72.7461705,148.962873,"Williams, Buck and Hicks",-84732068447.0,9
