first_name,last_name,latitude,longitude,company,pyfloat,random_digit
Cassandra,Mcpherson,-70.659543,139.457561,Smith-Joseph,67967808.81877,5
Michael,Fernandez,83.4637895,177.073218,"Rodriguez, Malone and Jensen",-498994771785.206,9
Joshua,Deleon,1.1811305,128.739287,Hayes PLC,-8779.36140454,3
Jessica,Jones,49.9419025,126.511142,Estes Inc,5760070775.95,5
Colleen,Stout,48.5473015,74.980546,Campbell LLC,3445.1453,1
Jermaine,Madden,39.9646205,7.611573,Brown-Simmons,-56106.774976,7
Dana,Armstrong,73.3803695,97.119628,Michael-Trujillo,89431275081.8926,3
Lisa,Harris,7.5705865,-175.383317,"Hall, Mcguire and Diaz",72524177129056.0,4
Roger,Buchanan,46.197710,-91.970638,Brown-Henry,10997362922.0,1
Megan,David,29.6420665,-65.774561,Randall-Luna,594.59692396,9
Kristin,Smith,44.256483,28.472061,"Castro, Solomon and Gomez",-696497143.4,8
Frank,Arnold,-39.738889,161.255788,Payne-Nichols,58893052898.439,7
Corey,Roberts,37.586364,58.012408,"Robinson, Nunez and Velez",779653726025360.0,3
Joseph,Sutton,-75.782657,-172.118616,Green-Nelson,25324224.285,2
Willie,Brown,-43.1616355,-25.170242,"Brown, Scott and Cardenas",185326535.508,5
Timothy,Steele,-23.1283145,34.125494,Page and Sons,-954273403.190936,4
Chris,Thomas,-10.015200,-41.138259,"Glover, Petersen and Andrews",-921.311122274,3
Rebecca,Crawford,-6.2504435,-102.875666,Hall Ltd,-983782314.0,6
Adam,Sellers,84.494579,-112.956987,Greer-Garcia,-5077348.91,6
Brandy,Bruce,-89.777304,-135.911813,"Smith, Sanchez and Saunders",362940.9343979,3
