first_name,last_name,latitude,longitude,company,pyfloat,random_digit
Samantha,Phillips,27.918362,-174.517975,Cline Inc,-9785.47696783544,9
Barbara,Huerta,-21.7508515,151.192442,Diaz PLC,-5238944205.0,7
Franklin,Mcclain,1.733476,5.569225,Joyce-Wood,-7.624,8
Lynn,Warren,22.598716,96.606057,Medina Group,-925732499.2945,2
Natasha,Love,-7.5835075,-30.772940,Roberts LLC,-3579.0,4
William,Parker,-65.9968625,30.874270,Watson PLC,-5090646421.0,6
Julie,Sparks,-59.647935,165.161354,Weaver-Stephens,505704561989822.0,1
Ethan,Mueller,-71.528510,143.472872,Barrett-Young,63695.889533,9
Michelle,Alexander,15.3528925,-83.096855,Meyers Inc,475966807168.0,7
Aaron,Terry,58.391792,78.474269,Avery-Martin,39432.2462149129,0
Taylor,Flowers,78.6180155,118.290640,Coleman Inc,-643635409634268.0,2
Rachel,Campbell,-26.5390105,167.891232,"Burke, Young and Smith",-35523770.3565,1
Ryan,Ortiz,51.2926815,98.096619,"Castro, Hoover and Simpson",-65367135105.14,4
James,Carter,-44.6255695,-52.980319,"Gonzalez, Bowman and Wilson",63319815006676.0,1
Lauren,Williams,-87.092255,-109.768364,Heath Ltd,-4694609.0,5
Tracy,Davis,52.8015625,20.655767,"Moore, Johnson and Chandler",-94.4518036299,7
Theresa,Newton,-54.9693145,73.378088,Hunt-Ho,3582819.51574,1
Susan,Coleman,-32.8622995,176.300365,"Morgan, Yang and Gilmore",189.0,7
Janet,Harper,2.3141255,31.659887,Francis LLC,589840.642,8
Melissa,Macias,-44.592623,-38.638744,Holmes-Mcdaniel,73487544.173,2
