first_name,last_name,latitude,longitude,company,pyfloat,random_digit
Ann,Bautista,4.246874,-61.393814,"Parker, Bradshaw and Campbell",401057669.3,3
Teresa,Hodge,75.884049,-178.676310,Booker-Hodge,846874.927,9
John,Mcclain,59.6052415,117.241552,Hall-Johnson,-550162.8505,9
Michelle,Newman,65.5180595,-59.214031,Chavez-Griffin,645981007354.0,7
Wendy,Moran,18.5068965,-92.881310,"Payne, Wilson and Sanchez",-20.62,7
Lawrence,Smith,57.531470,-56.618472,Perez and Sons,-5.2857,0
Margaret,Hardy,21.244167,-23.971647,"Thomas, Ware and Hill",78.5662445074,3
Jessica,Roberts,17.466206,55.000144,Holden-Mcdonald,-2089204908.8658,5
John,Gibson,46.6170925,-142.076995,Norman-Watson,-76017051.143,5
Kimberly,Brown,11.6722905,18.566328,"Baker, Fischer and Brown",603211.538,0
Elizabeth,Mitchell,-56.1706785,-1.748283,"Shaw, Jones and Anderson",40147395.5594,6
Yvette,Williams,-77.294379,-10.173795,Harris and Sons,45441.2,0
Michael,Gallagher,-12.295727,-136.112175,"Richardson, Lopez and Dunlap",3840597031305.0,5
Jeremy,Garcia,-54.680279,165.085286,Martinez-Jones,4275.1,7
Lisa,Bradford,-20.106086,140.476754,"Harris, Fitzgerald and Flores",-1013451.1509141,0
Kayla,Graham,-75.4271045,102.187281,Reid LLC,922310944423912.0,8
Lisa,Roman,-34.624817,-8.680107,"Leon, Carter and Jefferson",-50690144.4775,7
Matthew,Kaufman,-52.6307045,-29.256592,"Hanna, Melton and Moreno",91.2307,6
Stephanie,Anderson,-18.743225,153.862274,"Wilson, Rose and Barry",-120684808.47927,6
Wayne,Lawson,10.2983355,164.435236,Sullivan LLC,703778.54952,2
