first_name,last_name,latitude,longitude,company,pyfloat,random_digit
Crystal,Bell,-59.155667,-152.090607,Arias-Hooper,8.821808159,6
Joanna,Cox,24.912468,-3.162301,"Williams, Buchanan and Bell",12786.92107,1
Stephanie,Hoffman,87.269461,79.641391,Carter-Herrera,581880664577.361,7
Mathew,Bartlett,19.611374,-160.784623,"Salazar, Schmidt and Booker",6.784740546,2
Sabrina,Martinez,57.2367995,122.572090,Medina Group,-8161.0,7
Steven,Carpenter,34.542835,-67.101218,Hill PLC,17286526164833.0,7
Justin,Newton,-32.946243,42.141609,Thompson-Miller,810288609.99,2
James,Sanchez,-56.1042625,133.789190,"Yu, Hull and Valencia",5.9,0
Breanna,Johnson,35.2166565,15.739880,"Martin, Jones and Wiggins",-990029.32153951,6
Aaron,Flores,24.7165875,-175.554866,Hudson-Rivera,896.5709761,4
Annette,Richardson,55.828806,45.166747,"Preston, Sanchez and Jenkins",-978874.9756399,4
Adam,Graves,-28.064150,160.873835,Mejia-Serrano,-391252957743945.0,7
Sandra,Fischer,-75.109587,130.559171,Reed LLC,-622453554.84076,3
Kelsey,Cruz,67.300358,43.935784,Richard-Rodriguez,-248268.8,4
Angelica,Jimenez,37.791662,81.316846,Murphy LLC,-50450428.0,7
Colleen,Henry,-42.2269555,108.291746,Wilson-Baker,38830510.0,5
Caroline,Wallace,46.862266,-136.008639,"Bonilla, Houston and Ramos",500192058442.0,7
Jason,Kelley,-67.1656345,-83.419536,Lewis-Mccarty,666.0,9
John,Walsh,6.3889405,-85.029442,"Smith, Frank and Cardenas",-7210.41,5
John,Serrano,-88.3998515,26.379661,"Ross, Ortiz and Castro",-734042039615068.0,0
