first_name,last_name,latitude,longitude,company,pyfloat,random_digit
Dorothy,Allison,57.2775035,55.428273,Stanley-White,-294.67,9
Susan,Cook,12.1709035,118.587826,Brown-Martinez,-378121554972.2,3
Frank,Shah,-3.245799,65.723483,"Davis, Jones and Wood",-750123869460174.0,3
Tiffany,Greene,-29.9918175,-66.976162,Ellis LLC,-6800.8954560546,7
Jamie,Holt,48.608583,178.048248,"Hopkins, Hernandez and Smith",-1291.75,0
Mary,Mcbride,39.1339785,-132.623311,"Olson, Acosta and Reynolds",610750629736.6,9
Dylan,Estrada,-81.181298,-64.904109,"Colon, Saunders and Carter",727304390381.97,9
Daniel,Hughes,79.876501,-36.613437,Mack PLC,6344.236164985,9
David,Garcia,5.7445425,15.665624,"Lee, Macdonald and Martinez",-6175702.9063,9
Luis,Evans,-50.932763,-137.470645,"Lawrence, Lyons and Kelly",86882677980.749,9
Christian,Foster,74.0797435,-74.958103,Garcia-Perry,-5262.524290031,5
Eddie,Logan,66.0818955,-146.417468,"Adams, Page and Hodges",659817282.8,6
Clayton,Rivera,-35.6605475,88.240811,Cain PLC,-2625111322.141,5
Nancy,Mathis,-4.864729,-159.795290,Alexander Ltd,433553803.94,1
Peter,Garcia,-20.437786,-156.603132,"Steele, Soto and Brown",-3702898677282.21,3
Roberta,Duffy,-64.475431,-8.922229,"Cox, Roberts and Jones",-9.461032365176,0
Gary,Byrd,72.4665845,-37.873541,Ritter Group,471823753992550.0,6
Tyler,Young,61.418482,71.027614,Willis Ltd,87312.5107669,0
Mark,Thompson,56.6067765,32.247299,"Robinson, Griffith and Green",-442212709.62,0
Lauren,Mejia,-54.808701,-47.247314,Stewart LLC,28785475988145.0,0
