first_name,last_name,latitude,longitude,company,pyfloat,random_digit
Tonya,Thomas,6.253914,26.250046,"Johnson, Thompson and Thompson",73324981024.2,2
Stacy,Miles,89.7120615,83.373243,"Lynn, Jackson and Phillips",-48169567.2636,6
Sherry,Mccarty,-52.5111285,17.948478,"Spence, Weaver and Wagner",-4435022.480921,1
Mary,Blake,-5.459805,-99.909460,Brown-Parker,13988.9879,0
Michael,Smith,-15.563823,71.033719,Nichols-Williams,-859.3436839,4
Jennifer,Powell,-50.3231865,-124.289544,"Kemp, Hartman and Coleman",-664211.835066,9
Trevor,Ortiz,28.0143075,55.534000,Cunningham Inc,6.3656,6
Elizabeth,Nguyen,-4.8253195,145.806398,Briggs Group,-565079548.1037,6
Anna,Thompson,84.987332,-170.876919,Coffey Ltd,9210326.63,2
Katie,Snow,-0.4496005,12.932341,"Rodriguez, Burch and Arnold",693141494011.8,0
Henry,Kelley,-25.3040115,9.495668,Norman-Carroll,13913258505.4,0
Brandon,Smith,-8.6204625,90.518613,"Harris, Kirk and Roberts",7710.6097,1
Jessica,Murray,-25.6391795,34.971939,Williams and Sons,22.121273,6
Kimberly,Brown,-60.148371,107.729512,Hughes-Montgomery,67335543500809.0,8
Janice,Sampson,49.0723515,4.093060,Walton Group,7069574402808.26,2
Dwayne,Wilson,48.4365095,6.843075,"Harding, Hebert and Gutierrez",84.4,2
Ann,Chandler,-39.1539295,-175.870356,"Roberts, Murphy and Reed",69410770223979.0,1
Jason,Waller,8.961221,-110.218969,Garcia LLC,-80.1,2
Randy,Myers,83.192653,74.316105,"Warner, Nelson and Olson",5918086462.1,3
Jeffery,Osborn,-48.263298,-54.105591,"Wilson, Mitchell and Gutierrez",-6277.8205,2
