first_name,last_name,latitude,longitude,company,pyfloat,random_digit
Michael,Alvarez,-85.166004,-99.544942,Morgan PLC,81.8619683,5
James,Barnes,24.2365995,-110.674479,"Walker, Miles and Myers",-683675598.25901,3
Mary,Mueller,-11.0282915,-177.173755,"Riley, Miller and Gordon",-7.9429,2
Michele,West,6.4892295,146.679704,Meyer-Kennedy,-5297262974.4,7
Diane,Taylor,-19.713090,176.120498,Blevins PLC,507.70946457609,8
Lisa,Jones,-8.8575125,-87.875819,Moore and Sons,597921412639.0,1
James,Gibson,-20.7377505,-161.837085,"Reed, Farmer and Acevedo",-2372072407341.1,4
Angel,Sheppard,-29.920712,123.949263,"Barnes, Mcclure and Taylor",-74646.65,3
Elizabeth,Chase,1.5933195,-38.589701,Ingram LLC,-760508615688895.0,6
Antonio,Brown,48.116810,-123.580508,Scott-West,10.1271588,2
Garrett,Gutierrez,53.9254655,-3.816149,Monroe and Sons,369060.639,7
Sarah,Jones,70.297425,23.022929,Wright-Fitzpatrick,695924639516.27,0
Lauren,Anderson,-5.6261715,-26.106954,"Mcclure, Robinson and Love",-29184723690892.0,2
Michael,Webb,-2.378470,32.021915,Patterson-Nixon,-3.25,4
Lisa,Woodward,-16.7904115,101.601932,"Mcclain, Davidson and Francis",-4001.5,5
Brenda,Wright,-5.476567,-96.763188,"Freeman, Butler and Hobbs",-69151.0,1
Joshua,Coleman,-89.719576,-116.467119,Jones-Tapia,-18421035613760.0,7
Zachary,Hoffman,82.0002865,-172.889389,Mclaughlin-Solomon,-3184279.31699,0
Corey,Phillips,-12.926829,138.434761,Espinoza-Smith,-8007514045134.6,0
Steve,Andrade,-84.5869515,87.408506,Reyes Ltd,50353.16934,9
