first_name,last_name,latitude,longitude,company,pyfloat,random_digit
Ashley,Harris,55.1135175,-149.488125,Werner Inc,-99760.2371,4
William,Lewis,-13.1770485,-96.464418,Simpson-Smith,16885310.0,1
Tamara,Boone,-9.9108015,32.978851,Rodriguez PLC,99.54934,8
Alexis,Miller,14.9305875,150.876616,Rogers PLC,33401434107.125,5
Peter,Sims,3.6629215,165.640360,Calderon PLC,509112161.4,2
Rhonda,Hill,-33.8321855,84.669452,Fry PLC,-4.2,7
Christopher,Houston,72.979839,89.192946,"Nguyen, Cordova and Rodriguez",-445014273.0,0
Paul,Small,89.9403605,53.644529,Blackwell-Ballard,388309055.565,2
Lori,Fox,59.5282405,-2.991324,"Gutierrez, Mack and Powell",292197073.88,8
Sandra,Douglas,-69.525123,52.085793,Wilson PLC,-160.870073,4
David,Compton,70.283513,-21.683294,"Deleon, Bailey and Simpson",3398315700860.74,9
Vanessa,Walker,84.552411,-103.552284,Welch PLC,-798294280173.97,8
Brenda,Miller,-23.5957565,132.147020,Erickson PLC,-629259.3,5
Cindy,Marshall,-77.0838465,-170.670350,Howard Ltd,36416310132154.5,3
Michelle,Potter,12.9365325,-117.329831,Pena and Sons,7963.3876744,9
Kaylee,Turner,-62.633063,172.032827,"Carroll, Ramos and Powell",-355712003508.823,7
Jason,Potts,45.775990,-97.645901,Stevens-Fisher,0.65082547,7
Tracey,Lopez,-45.0862285,116.396692,Sullivan Inc,-78.60071967,4
Mark,Haley,-88.338633,129.083499,"Barrett, Hill and Johnson",-6855538320395.21,0
Amy,Wilson,10.759886,-80.608393,Beck-Austin,-9065.6,8
