first_name,last_name,latitude,longitude,company,pyfloat,random_digit
Alan,Johnson,71.588471,-126.760280,Baker-Ramirez,-2.51965223722,1
Mike,Lopez,51.041999,-76.880209,Brock Ltd,98820245510934.9,3
Christopher,Woodward,-39.065892,-122.334318,"Nelson, Greer and Shields",617251290477.12,9
Heather,Johnson,80.1418435,93.426176,Jimenez-Gonzales,-4405009217766.0,0
Joshua,Barnett,0.9636185,160.581126,Ewing-Quinn,-4324836465.5,7
William,Burke,-18.327860,52.056516,Mcbride-Cline,4026799809.408,7
Anne,Gibson,-76.6243015,74.603104,Diaz Inc,-6880644554300.91,4
Linda,Smith,57.842307,-50.392696,Smith and Sons,-5415129.55058,3
George,Ford,-22.770970,-99.235147,Molina Group,330698848.2846,1
Julia,Todd,36.590752,74.156060,Garcia-Brown,5963421396.94,5
Carol,Haynes,-83.5926245,-29.533655,Mendoza PLC,-306424287.2,0
Aaron,Diaz,-25.9244625,-120.157389,"Rollins, Duke and Nelson",-619390.435,5
Seth,Wilson,29.4760875,130.648955,Wilson Group,67270106.0,2
Dawn,Thompson,83.9923345,-142.519720,Yu-Lopez,807029449.69673,7
Jonathan,Johnson,49.678157,-76.623520,Medina PLC,-878939568220.0,3
Jessica,Rivera,-44.3573425,69.169010,"Salazar, Rosario and Butler",-34.0,5
Mario,Kim,51.775842,-6.751491,Palmer-Jackson,-86598.54914451,6
Erin,Hebert,30.107043,123.924077,Thomas-Guzman,-506901602763.0,7
Jason,Butler,-78.0829855,-26.853201,Bell Ltd,93690.49,9
Matthew,Lane,-83.3361975,-100.889130,Bush-Flynn,-84.7155360589,9
