first_name,last_name,latitude,longitude,company,pyfloat,random_digit
David,Perez,61.323239,-14.558024,Daniel Group,7516581.3,9
Mary,Archer,59.8579085,32.808083,Stewart-Richardson,9232160992605.0,9
Brian,Anderson,36.898295,14.847771,Hernandez-Franklin,7834427.701,8
Briana,Mcintosh,2.8132095,-145.383064,Nichols and Sons,324752.791703,7
Samuel,Arnold,-53.7704965,141.072680,Smith-Sanchez,-8.680628116,5
Sandra,Stone,14.720210,6.531683,Martin-Smith,-77.94281323968,3
Sarah,Burns,87.7339505,-29.853949,"Smith, Dunn and Douglas",144152344604210.0,3
Phillip,Coleman,-74.7809485,114.663320,"Warren, Vargas and Brooks",-140762623564.0,4
Troy,Torres,-31.4073285,-7.632486,Duncan-Espinoza,214.265554,1
Linda,Gonzalez,-59.393877,-141.909697,Ingram Ltd,-4149838463712.5,2
George,Bradley,70.716681,-167.499872,Garcia and Sons,-26640.731143,9
Peter,Kaufman,-1.3390065,71.427681,Leon Group,7535727.65009447,4
David,Newton,-63.651001,-30.179121,Garcia and Sons,1787.0,7
Jon,Thomas,48.9467065,-145.271359,"Fernandez, Johnson and Stone",25845.90089417,9
Jennifer,Lewis,-68.287331,130.464728,"Reyes, Leblanc and Lee",-667.5,1
Timothy,Martinez,48.8645975,-71.218036,Black-Cordova,-6707029412.15,6
Lance,Thomas,55.550168,161.161209,Pearson Ltd,-48.69922,0
Michael,Brooks,-1.6409305,-88.060992,Romero Ltd,5.231731479167,7
Lawrence,Keller,-3.4472965,61.239108,Byrd-Rodriguez,-933565063592.59,1
Christina,Knight,-73.933325,-75.213656,"Dunlap, Curry and Collins",622710909.57331,0
