first_name,last_name,latitude,longitude,company,pyfloat,random_digit
Richard,Nixon,67.048421,-135.374291,Washington-Turner,67589823501.0,0
Lindsey,Callahan,-61.0714195,-117.286437,Heath Inc,-2909.64842543,9
Luke,Newton,-86.809638,-92.905726,"Nelson, Perez and Hunter",-7474252439.32439,6
Jose,Mcneil,55.6328605,157.372404,Walton-Henderson,33128.8959229874,2
Nathan,Stewart,7.649948,-137.656120,Cole Inc,7235.91184,9
Thomas,Carr,51.337626,141.724321,Harrell PLC,-8915.542,6
Christine,Alexander,-13.089734,133.108827,"Garcia, Bell and Hall",-44.82337874557,4
Dylan,Williams,21.333676,79.799989,"Morgan, Jones and Brooks",-1765.397656,9
Jamie,Jones,45.3668375,23.533457,"Ward, Ruiz and Johnson",-787213284993347.0,7
Colin,Clark,49.8724905,-121.278108,Long-Brooks,-736.303013565365,0
Colton,Johnson,-40.5288975,13.173101,Maxwell-Soto,25671713326786.0,4
Michelle,Howard,-20.9716485,-131.008915,Archer Ltd,-7740422814099.4,3
Gary,Rose,18.028540,-49.441336,Jones Inc,4792.78,4
Jaclyn,Smith,-86.950674,16.892090,"Little, Nelson and Shea",-71.75,8
Jeffrey,Smith,-19.7658455,41.135357,"Warren, Brown and Pena",645035812.56424,0
Kevin,Pennington,-45.421669,22.550395,White LLC,65144130.0,8
Courtney,Johnson,70.623372,-64.932562,Watkins-Thomas,-8643.3619505,0
Nancy,Smith,41.5023175,49.818732,Pearson Ltd,-40.0,9
Christina,Sanders,9.085631,169.518730,Wilkerson Inc,-177694028026.0,6
Marc,Watkins,-69.4559455,72.219786,"Gibson, Perez and Miller",-7533559303817.41,7
