first_name,last_name,latitude,longitude,company,pyfloat,random_digit
David,Kelley,-65.5829495,66.034099,"Graves, Perry and Miller",-1.79000289989351,6
Joseph,Cook,18.142292,-79.659642,Evans Inc,-2.68443,2
Emily,Rodriguez,-4.799324,-46.285989,Stuart Ltd,16520601568497.0,0
Barry,Richmond,37.802503,-41.436526,White-Christensen,34.8,2
Brittany,Clark,79.648077,28.974133,"Higgins, Rice and Thompson",590797084726.3,5
Mercedes,Steele,-12.3976445,96.548154,"Johnson, Thompson and Brady",-313.875983111,2
Nathan,Cervantes,-50.488165,0.330063,"Spencer, Hartman and Perez",220.12457,4
Peter,Horne,44.515211,-106.640504,Colon Group,-204357991.38777,0
Tammy,Williams,-1.6965275,44.292253,"Carpenter, Tran and Foster",-3953600043.0,2
Joseph,Fuller,-73.4703575,167.152889,"Owen, Castillo and Hansen",732135.1098759,1
Kimberly,Diaz,20.171512,-117.603773,Dodson-Porter,4841757436.21,5
Angel,Murphy,70.7621295,-143.056566,Obrien Inc,-2999582.0,2
Patrick,Anderson,-86.761598,-20.735887,Adams-Kaiser,-928173.716620571,3
Peter,Arnold,25.464214,-55.014137,"Zamora, Mcmillan and Strickland",8900484990.436,2
Kelsey,Rogers,77.8676385,34.987764,"Rivera, Hunt and Ferrell",382089864.9,1
Walter,Gonzales,12.0757325,-130.996196,Rosario-Rodriguez,190.6641851,9
Jacob,Mathews,-49.759841,-104.730144,Smith LLC,-4307701.394727,5
Christopher,Trujillo,-15.4705875,-108.280266,Hughes-Howard,8659573058628.0,7
Robert,George,9.003278,-20.274982,"Contreras, Robinson and Dudley",16512723067400.2,0
Kyle,Brown,-53.368864,-86.606997,Mccall and Sons,-355.382110663612,9
